walkid,id,time,lat,lon,img,numPeaks,max,avg,min,year,month,day,hour,minute,second,dayofweek,dayname
track12,2014-07-23_18-10-40_37.75880244_-122.42152557,2014-07-23_18-10-40,37.75880244,-122.42152557,2014-07-23_18-10-40_37.75880244_-122.42152557.wav,9,6430.6686259877,5009.5712059422,3594.7287799945,2014,7,23,18,10,40,2,Wednesday
track12,2014-07-23_18-12-10_37.75789382_-122.42128537,2014-07-23_18-12-10,37.75789382,-122.42128537,2014-07-23_18-12-10_37.75789382_-122.42128537.wav,9,8081.7542990478,5838.1704323384,5209.1474291971,2014,7,23,18,12,10,2,Wednesday
track12,2014-07-23_18-10-19_37.75901677_-122.42146791,2014-07-23_18-10-19,37.75901677,-122.42146791,2014-07-23_18-10-19_37.75901677_-122.42146791.wav,9,7115.1163233757,4016.5419934468,2671.2895674193,2014,7,23,18,10,19,2,Wednesday
track12,2014-07-23_17-57-42_37.76482367_-122.41945436,2014-07-23_17-57-42,37.76482367,-122.41945436,2014-07-23_17-57-42_37.76482367_-122.41945436.wav,9,22319.8317212198,15307.7268923605,10839.0183236094,2014,7,23,17,57,42,2,Wednesday
track12,2014-07-23_18-15-07_37.75610975_-122.42116185,2014-07-23_18-15-07,37.75610975,-122.42116185,2014-07-23_18-15-07_37.75610975_-122.42116185.wav,9,8997.8758631363,5333.341333222,3826.0085634944,2014,7,23,18,15,7,2,Wednesday
track12,2014-07-23_17-59-58_37.76494277_-122.42049767,2014-07-23_17-59-58,37.76494277,-122.42049767,2014-07-23_17-59-58_37.76494277_-122.42049767.wav,9,34975.6323618505,26104.5503337768,16157.5913563083,2014,7,23,17,59,58,2,Wednesday
track12,2014-07-23_17-57-47_37.76483333_-122.41951951,2014-07-23_17-57-47,37.76483333,-122.41951951,2014-07-23_17-57-47_37.76483333_-122.41951951.wav,9,31212.051365228,13547.3786924647,6725.556761356,2014,7,23,17,57,47,2,Wednesday
track12,2014-07-23_18-07-05_37.76129801_-122.42161838,2014-07-23_18-07-05,37.76129801,-122.42161838,2014-07-23_18-07-05_37.76129801_-122.42161838.wav,9,3720.0878113979,2720.1546810407,2001.113251434,2014,7,23,18,7,5,2,Wednesday
track12,2014-07-23_18-03-04_37.76410853_-122.4218821,2014-07-23_18-03-04,37.76410853,-122.4218821,2014-07-23_18-03-04_37.76410853_-122.4218821.wav,9,6733.8817091825,5255.1049674708,3684.7365491976,2014,7,23,18,3,4,2,Wednesday
track12,2014-07-23_18-15-51_37.75562642_-122.42112792,2014-07-23_18-15-51,37.75562642,-122.42112792,2014-07-23_18-15-51_37.75562642_-122.42112792.wav,9,12374.6276226176,4351.2997061622,2554.8844120099,2014,7,23,18,15,51,2,Wednesday
track12,2014-07-23_18-13-49_37.75695725_-122.4211206,2014-07-23_18-13-49,37.75695725,-122.4211206,2014-07-23_18-13-49_37.75695725_-122.4211206.wav,9,9177.7117860538,7431.0055404933,6494.5046378265,2014,7,23,18,13,49,2,Wednesday
track12,2014-07-23_18-07-26_37.7610726_-122.42167904,2014-07-23_18-07-26,37.7610726,-122.42167904,2014-07-23_18-07-26_37.7610726_-122.42167904.wav,9,6343.9747320783,5387.5431364817,4199.5481505302,2014,7,23,18,7,26,2,Wednesday
track12,2014-07-23_17-57-36_37.76482393_-122.41945428,2014-07-23_17-57-36,37.76482393,-122.41945428,2014-07-23_17-57-36_37.76482393_-122.41945428.wav,9,9805.1289425517,7526.9424088088,5228.8748885445,2014,7,23,17,57,36,2,Wednesday
track12,2014-07-23_18-06-43_37.76156289_-122.42170166,2014-07-23_18-06-43,37.76156289,-122.42170166,2014-07-23_18-06-43_37.76156289_-122.42170166.wav,9,6295.450546383,4802.4565327379,3636.9060363007,2014,7,23,18,6,43,2,Wednesday
track12,2014-07-23_18-06-37_37.76162835_-122.4216978,2014-07-23_18-06-37,37.76162835,-122.4216978,2014-07-23_18-06-37_37.76162835_-122.4216978.wav,9,18169.8198837879,10190.0544961192,3793.8601861835,2014,7,23,18,6,37,2,Wednesday
track12,2014-07-23_18-06-26_37.76173936_-122.42166921,2014-07-23_18-06-26,37.76173936,-122.42166921,2014-07-23_18-06-26_37.76173936_-122.42166921.wav,9,10919.7376900186,6048.9219271906,3326.0808287581,2014,7,23,18,6,26,2,Wednesday
track12,2014-07-23_17-59-26_37.76496375_-122.42006106,2014-07-23_17-59-26,37.76496375,-122.42006106,2014-07-23_17-59-26_37.76496375_-122.42006106.wav,9,21105.0674325996,14683.2877529337,10067.5512211341,2014,7,23,17,59,26,2,Wednesday
track12,2014-07-23_18-15-40_37.7557442_-122.42112318,2014-07-23_18-15-40,37.7557442,-122.42112318,2014-07-23_18-15-40_37.7557442_-122.42112318.wav,9,27880.5064850537,16433.3217022439,3858.3172347296,2014,7,23,18,15,40,2,Wednesday
track12,2014-07-23_18-05-23_37.7625177_-122.42177038,2014-07-23_18-05-23,37.7625177,-122.42177038,2014-07-23_18-05-23_37.7625177_-122.42177038.wav,9,23860.1063058665,14326.0609138949,8888.2437209158,2014,7,23,18,5,23,2,Wednesday
track12,2014-07-23_18-11-48_37.75812525_-122.42128574,2014-07-23_18-11-48,37.75812525,-122.42128574,2014-07-23_18-11-48_37.75812525_-122.42128574.wav,9,3690.5755264942,2803.1416440798,2177.9831938025,2014,7,23,18,11,48,2,Wednesday
track12,2014-07-23_18-04-08_37.76339751_-122.4218515,2014-07-23_18-04-08,37.76339751,-122.4218515,2014-07-23_18-04-08_37.76339751_-122.4218515.wav,9,16710.8395993808,9462.7097194851,4480.1877723228,2014,7,23,18,4,8,2,Wednesday
track12,2014-07-23_18-09-57_37.75928223_-122.4214801,2014-07-23_18-09-57,37.75928223,-122.4214801,2014-07-23_18-09-57_37.75928223_-122.4214801.wav,9,25429.4512306022,20150.1721195582,15498.3948065896,2014,7,23,18,9,57,2,Wednesday
track12,2014-07-23_18-04-19_37.76326893_-122.42183559,2014-07-23_18-04-19,37.76326893,-122.42183559,2014-07-23_18-04-19_37.76326893_-122.42183559.wav,9,10261.5924129229,6013.6427478865,3542.7309806948,2014,7,23,18,4,19,2,Wednesday
track12,2014-07-23_18-11-26_37.75840167_-122.42139141,2014-07-23_18-11-26,37.75840167,-122.42139141,2014-07-23_18-11-26_37.75840167_-122.42139141.wav,9,6807.5792145612,5249.3158648977,4090.2523122752,2014,7,23,18,11,26,2,Wednesday
track12,2014-07-23_18-07-37_37.76094132_-122.4216573,2014-07-23_18-07-37,37.76094132,-122.4216573,2014-07-23_18-07-37_37.76094132_-122.4216573.wav,9,10540.0506783883,7671.7179399853,3604.1544566667,2014,7,23,18,7,37,2,Wednesday
track12,2014-07-23_18-00-09_37.76494888_-122.42066721,2014-07-23_18-00-09,37.76494888,-122.42066721,2014-07-23_18-00-09_37.76494888_-122.42066721.wav,9,21951.1791037052,14403.6718665453,9499.3881311209,2014,7,23,18,0,9,2,Wednesday
track12,2014-07-23_18-07-16_37.76117747_-122.42164514,2014-07-23_18-07-16,37.76117747,-122.42164514,2014-07-23_18-07-16_37.76117747_-122.42164514.wav,9,4363.6932623055,3353.5519502625,2447.8446916861,2014,7,23,18,7,16,2,Wednesday
track12,2014-07-23_18-14-10_37.75675785_-122.42116718,2014-07-23_18-14-10,37.75675785,-122.42116718,2014-07-23_18-14-10_37.75675785_-122.42116718.wav,9,6843.8368533662,4953.0655652559,4163.9486705722,2014,7,23,18,14,10,2,Wednesday
track12,2014-07-23_18-12-43_37.75754702_-122.42132064,2014-07-23_18-12-43,37.75754702,-122.42132064,2014-07-23_18-12-43_37.75754702_-122.42132064.wav,9,11674.5782176287,6923.1583437489,3879.96695078,2014,7,23,18,12,43,2,Wednesday
track12,2014-07-23_18-08-31_37.76034196_-122.42169922,2014-07-23_18-08-31,37.76034196,-122.42169922,2014-07-23_18-08-31_37.76034196_-122.42169922.wav,9,4240.6254192143,3187.0705927542,2220.7228674539,2014,7,23,18,8,31,2,Wednesday
track12,2014-07-23_18-09-03_37.75992107_-122.42155245,2014-07-23_18-09-03,37.75992107,-122.42155245,2014-07-23_18-09-03_37.75992107_-122.42155245.wav,9,8490.3325113247,6756.0768921318,5259.6349661972,2014,7,23,18,9,3,2,Wednesday
track12,2014-07-23_17-59-15_37.76499186_-122.41992553,2014-07-23_17-59-15,37.76499186,-122.41992553,2014-07-23_17-59-15_37.76499186_-122.41992553.wav,9,9119.1591495728,7542.9225363794,5743.4676084513,2014,7,23,17,59,15,2,Wednesday
track12,2014-07-23_18-09-14_37.75977867_-122.42151429,2014-07-23_18-09-14,37.75977867,-122.42151429,2014-07-23_18-09-14_37.75977867_-122.42151429.wav,9,10068.3032132172,7576.3615259719,4995.1432616347,2014,7,23,18,9,14,2,Wednesday
track12,2014-07-23_18-03-15_37.76398156_-122.4218542,2014-07-23_18-03-15,37.76398156,-122.4218542,2014-07-23_18-03-15_37.76398156_-122.4218542.wav,9,17306.0492258186,13814.3247144696,10481.0036391137,2014,7,23,18,3,15,2,Wednesday
track12,2014-07-23_18-10-51_37.75866521_-122.42151683,2014-07-23_18-10-51,37.75866521,-122.42151683,2014-07-23_18-10-51_37.75866521_-122.42151683.wav,9,15283.7997152536,10684.8136476611,6339.7157350972,2014,7,23,18,10,51,2,Wednesday
track12,2014-07-23_18-08-20_37.76043596_-122.42164394,2014-07-23_18-08-20,37.76043596,-122.42164394,2014-07-23_18-08-20_37.76043596_-122.42164394.wav,9,8633.1763197174,5583.7646634352,3854.3171136473,2014,7,23,18,8,20,2,Wednesday
track12,2014-07-23_18-12-54_37.75741861_-122.42127857,2014-07-23_18-12-54,37.75741861,-122.42127857,2014-07-23_18-12-54_37.75741861_-122.42127857.wav,9,12738.1566211887,7477.1128754735,5059.5345910321,2014,7,23,18,12,54,2,Wednesday
track12,2014-07-23_18-05-44_37.76225307_-122.42171086,2014-07-23_18-05-44,37.76225307,-122.42171086,2014-07-23_18-05-44_37.76225307_-122.42171086.wav,9,14492.9834709945,6580.7672234533,2358.5018789984,2014,7,23,18,5,44,2,Wednesday
track12,2014-07-23_18-10-08_37.75914703_-122.42147171,2014-07-23_18-10-08,37.75914703,-122.42147171,2014-07-23_18-10-08_37.75914703_-122.42147171.wav,9,24834.9210119026,11662.4224966835,3685.1900838482,2014,7,23,18,10,8,2,Wednesday
track12,2014-07-23_18-02-20_37.76454461_-122.42191218,2014-07-23_18-02-20,37.76454461,-122.42191218,2014-07-23_18-02-20_37.76454461_-122.42191218.wav,9,13604.1190053269,8565.0018779319,6328.9271992687,2014,7,23,18,2,20,2,Wednesday
